Index,Image_ID,Breed,Chest_Girth_cm,Back_Length_cm,Withers_Height_cm,Recommended_Size,Fit_Ratio,Sizing_Verdict,3D_Mesh_OBJ_Path,VTON_Image_PNG_Path
44,golden_golden_retriever_dog_show_bing_00043,Golden Retriever,73.1,53.9,61.4,M,0.975,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00043_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00043_vton_M.png
45,golden_golden_retriever_dog_show_bing_00044,Golden Retriever,84.5,37.6,52.5,L,0.983,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00044_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00044_vton_L.png
46,golden_golden_retriever_dog_show_bing_00045,Golden Retriever,91.2,37.8,74.4,L,1.06,Tight,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00045_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00045_vton_L.png
47,golden_golden_retriever_dog_show_bing_00046,Golden Retriever,77.4,51.6,70.1,M,1.032,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00046_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00046_vton_M.png
48,golden_golden_retriever_dog_show_bing_00047,Golden Retriever,154.2,40.4,46.2,XL,1.558,Tight,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00047_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00047_vton_XL.png
49,golden_golden_retriever_dog_show_bing_00048,Golden Retriever,83.4,57.3,67.5,L,0.97,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00048_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00048_vton_L.png
50,golden_golden_retriever_dog_show_bing_00049,Golden Retriever,92.0,62.7,71.7,L,1.07,Tight,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00049_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00049_vton_L.png
51,golden_golden_retriever_dog_show_bing_00050,Golden Retriever,85.3,80.5,44.3,L,0.992,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00050_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00050_vton_L.png
52,golden_golden_retriever_dog_show_bing_00051,Golden Retriever,113.6,24.2,80.0,XL,1.147,Tight,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00051_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00051_vton_XL.png
53,golden_golden_retriever_dog_show_bing_00052,Golden Retriever,90.9,56.2,76.6,L,1.057,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00052_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00052_vton_L.png
