index,breed,source_image,output_image,garment_name,chest_girth_cm,back_length_cm,withers_height_cm,recommended_size,physical_fit_ratio,fit_verdict,processing_time_sec
70,labrador,00007.jpg,00007_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,80.8,52.3,69.1,L,0.94,Loose,1.24
71,labrador,00008.jpg,00008_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,78.7,21.2,89.4,M,1.049,Good Fit,1.18
72,labrador,00009.jpg,00009_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,92.6,42.5,66.8,XL,0.935,Good Fit,1.16
73,labrador,00010.jpg,00010_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,134.5,51.0,68.2,XL,1.359,Tight,1.16
74,labrador,00011.jpg,00011_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,99.0,61.2,80.3,XL,1.0,Good Fit,1.17
75,labrador,00012.jpg,00012_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,94.6,59.4,79.9,XL,0.956,Good Fit,1.21
76,labrador,00013.jpg,00013_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,91.4,39.6,51.1,L,1.063,Tight,1.32
77,labrador,00014.jpg,00014_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,89.7,49.6,81.1,L,1.043,Good Fit,1.22
78,labrador,00015.jpg,00015_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,113.0,50.4,71.4,XL,1.141,Tight,1.23
79,labrador,00016.jpg,00016_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,96.5,58.5,76.9,XL,0.975,Good Fit,1.16
80,labrador,00017.jpg,00017_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,97.2,60.1,80.4,XL,0.982,Good Fit,1.2
81,labrador,00018.jpg,00018_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,94.9,62.0,80.2,XL,0.959,Good Fit,1.14
82,labrador,00019.jpg,00019_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,96.8,39.5,70.6,XL,0.978,Good Fit,1.18
83,labrador,00020.jpg,00020_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,86.3,55.5,68.4,L,1.003,Good Fit,1.26
84,labrador,00021.jpg,00021_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,92.9,18.4,68.3,XL,0.938,Good Fit,1.21
85,labrador,00022.jpg,00022_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,85.8,48.4,69.8,L,0.998,Good Fit,1.23
86,labrador,00023.jpg,00023_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,89.7,128.9,63.7,L,1.043,Good Fit,1.25
87,labrador,00024.jpg,00024_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,90.7,55.2,73.1,L,1.055,Good Fit,1.14
88,labrador,00025.jpg,00025_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,101.2,40.0,69.1,XL,1.022,Good Fit,1.16
89,labrador,00026.jpg,00026_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,91.5,53.6,72.3,L,1.064,Tight,1.18
90,labrador,00027.jpg,00027_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,86.5,51.0,72.4,L,1.006,Good Fit,1.18
91,labrador,00028.jpg,00028_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,85.5,53.9,79.5,L,0.994,Good Fit,1.21
92,labrador,00029.jpg,00029_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,96.8,53.0,71.2,XL,0.978,Good Fit,1.14
93,labrador,00030.jpg,00030_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,107.4,36.1,62.3,XL,1.085,Tight,1.13
94,labrador,00031.jpg,00031_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,87.7,60.9,81.0,L,1.02,Good Fit,1.21
95,labrador,00032.jpg,00032_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,80.4,53.9,59.5,M,1.072,Good Fit,1.12
96,labrador,00033.jpg,00033_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,93.7,58.3,78.9,XL,0.946,Good Fit,1.13
97,labrador,00034.jpg,00034_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,86.9,64.7,74.5,L,1.01,Good Fit,1.13
98,labrador,00035.jpg,00035_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,86.9,59.8,81.9,L,1.01,Good Fit,1.13
99,labrador,00036.jpg,00036_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,119.4,53.7,53.5,XL,1.206,Tight,1.21
100,labrador,00037.jpg,00037_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,81.2,41.0,64.0,L,0.944,Good Fit,1.11
101,labrador,00038.jpg,00038_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,92.5,52.6,81.2,L,1.076,Tight,1.17
102,labrador,00039.jpg,00039_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,114.3,62.5,69.1,XL,1.155,Tight,1.14
103,labrador,00040.jpg,00040_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,137.7,53.5,64.7,XL,1.391,Tight,1.13
104,labrador,00041.jpg,00041_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,93.3,49.7,70.2,XL,0.942,Good Fit,1.18
105,labrador,00042.jpg,00042_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,94.3,57.8,72.1,XL,0.953,Good Fit,1.17
106,labrador,00043.jpg,00043_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,87.5,44.9,66.9,L,1.017,Good Fit,1.14
107,labrador,00044.jpg,00044_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,86.2,50.6,70.4,L,1.002,Good Fit,1.13
